ADC,Temp_datasheet_C,Temp_refit_cubic_C,Refit_minus_datasheet_C
167,3.509786685432461,4.527718732736517,1.0179320473040558
168,3.1155948253185857,4.148994077433599,1.0333992521150135
169,2.7192122228560365,3.7666280390421036,1.0474158161860672
170,2.3205593806914044,3.380490623009379,1.0599312423179748
171,1.9195544819125245,2.990451834783059,1.0708973528705343
172,1.516113267054135,2.596381679810648,1.0802684127565128
173,1.1101489039965478,2.1981501635394523,1.0880012595429045
174,0.7015718502225093,1.795627291417162,1.0940554411946528
175,0.2902897068509887,1.388683068891055,1.0983933620400663
176,-0.1172235185738888,0.9771875014087641,1.0944110199826529
177,-0.5120769478642302,0.5610105944177803,1.0730875422820105
178,-0.9097721407069752,0.1400223533654099,1.0497944940723851
179,-1.3104089717568108,-0.2859072163006431,1.0245017554561677
180,-1.714090851283725,-0.716908109133044,0.9971827421506809
181,-2.120924924745923,-1.1531103196842878,0.9678146050616352
182,-2.5310222856694233,-1.594643842506855,0.9363784431625684
183,-2.944498202943639,-2.0416386721533115,0.9028595307903275
184,-3.3614723637520942,-2.4942248031761665,0.8672475605759278
185,-3.7820691334778536,-2.9525322301278436,0.82953690335001
186,-4.206417834057161,-3.4166909475610794,0.7897268864960818
187,-4.634653042406034,-3.886830950028127,0.7478220923779073
188,-5.066914910712283,-4.363082232081723,0.70383267863056
189,-5.50334951057348,-4.845574788274234,0.657774722299246
190,-5.944109203173775,-5.334438613158255,0.6096705900155195
191,-6.38935303792918,-5.829803701286238,0.5595493366429416
192,-6.8392471822989584,-6.331800047210834,0.5074471350881247
193,-7.293965385763103,-6.840557645484523,0.4534077402785801
194,-7.753689481306127,-7.356206490659673,0.39748299064645387
195,-8.218609928134699,-7.878876577288992,0.339733350845707
196,-8.688926399794376,-8.408697899924903,0.28022849986947307
197,-9.164848422349225,-8.945800453119944,0.2190479692292815
198,-9.646596067855654,-9.490314231426538,0.15628183642911608
199,-10.125797200721014,-10.04236922939748,0.08342797132353397
200,-10.588272756083086,-10.602095441584993,-0.013822685501907017
201,-11.056885580038783,-11.1696228625417,-0.11273728250291803
202,-11.531888874412967,-11.74508148682014,-0.21319261240717324
203,-12.013549952819485,-12.32860130897285,-0.315051356153365
204,-12.502151344074043,-12.920312323552253,-0.41816097947820907
205,-12.997992004696988,-13.520344525111,-0.522352520414012
206,-13.501388653737356,-14.128827908201487,-0.6274392544641305
